z,mu_mean,mu_sigma,dl_mpc_mean,dl_mpc_sigma
0.56,42.41029448517555,0.025417808530699627,3034.5082992105467,35.61583387529418
0.5700000000000001,42.45570885008583,0.025239467427066065,3098.6376241326893,36.111164993729176
0.5800000000000001,42.500539071942256,0.025032224368926888,3163.2706905710033,36.55743643638047
0.59,42.5448074856086,0.0248070888880416,3228.4162587509486,36.96841205951433
0.6,42.588534315401446,0.024575681293837387,3294.0817063992863,37.36015180359897
0.61,42.63173786156085,0.02435011505096603,3360.2730515448648,37.750945526673135
0.62,42.674434674959755,0.024142826296417005,3426.994983082127,38.16113948175765
0.63,42.71663972028564,0.02396634354295812,3494.2508978698997,38.612831938287144
0.64,42.75836652795422,0.023832995635031173,3562.0429431938237,39.129420630475806
0.65,42.799627335053934,0.023754564186114425,3630.3720634953847,39.73499778720063
0.66,42.84043321566387,0.023741897568940608,3699.2380503591803,40.453608807361064
0.67,42.880794200931774,0.023804515289119057,3768.6395948479585,41.30841602821292
0.68,42.92071938934082,0.02395024119757949,3838.574341377862,42.320834266511575
0.6900000000000001,42.96021704762935,0.024184907877210424,3909.0389424299,43.50972241745487
0.7000000000000001,42.99929470285504,0.024512169927505007,3980.0291134946433,44.89071814489321
0.7100000000000001,43.0379592261169,0.02493345042405543,4051.5396877432263,46.475786994866475
0.72,43.07621690845806,0.025448025318807115,4123.564670006471,48.27302559258145
0.73,43.11407352947769,0.02605323007860212,4196.097289725018,50.28671919087686
0.74,43.15153441917532,0.026744756846356757,4269.130052605064,52.517617489459184
0.75,43.18860451354232,0.027517002401901865,4342.654790777726,54.96336816913966
0.76,43.22528840439848,0.028363427775627136,4416.662711314176,57.619038771456154
0.77,43.261590383953134,0.029276897504017598,4491.144442995169,60.47766279895539
0.78,43.297514484547385,0.03024997693786635,4566.090081271915,63.530760190789145
0.79,43.33306451400826,0.03127517662348408,4641.4892313872715,66.7687998884305
0.8,43.36824408701975,0.03234514151387076,4717.33104965162,70.181588556251
0.81,43.403056652888765,0.03345278877742829,4793.604282888396,73.75858219589537
0.8200000000000001,43.43750552005552,0.03459140132378748,4870.29730607975,77.48912573126576
0.8300000000000001,43.47159387767261,0.0357546854213436,4947.3981582548995,81.36263013329305
0.8400000000000001,43.505324814549354,0.03693680063592482,5024.894576672122,85.3686982838556
0.85,43.53870133573364,0.03813236939402679,5102.77402935135,89.49721057212027
0.86,43.57172637697987,0.039336472223254405,5181.023746017993,93.73838001343277
0.87,43.604402817328165,0.04054463343706477,5259.630747520316,98.08278507106304
0.88,43.63673348999985,0.041752800867530714,5338.581873783435,102.52138670814873
0.89,43.66872119179417,0.04295732227486104,5417.8638103622,107.04553469517043
0.9,43.70036869115337,0.04415492028712023,5497.463113653812,111.64696692840548
0.91,43.7316787350464,0.045342667130831585,5577.36623482912,116.31780449197797
0.92,43.762654054806475,0.0465179599739989,5657.559542538927,121.05054440057229
0.93,43.793297371043955,0.04767849738648929,5738.029344449153,125.83805135780395
0.9400000000000001,43.82361139774291,0.04882225720014084,5818.7619076557,130.6735494192412
0.9500000000000001,43.8535988456388,0.049947475898615715,5899.743478027178,135.55061412532734
0.9600000000000001,43.88326242496419,0.05105262956575182,5980.960298520718,140.46316543842525
0.97,43.91260484763974,0.05213641635638308,6062.398626513497,145.4054616564704
0.98,43.94162882898008,0.0531977404143549,6144.044750189974,150.37209436483343
